"Name","Vetic Variant ID","Clinic ID","Clinic Name","Mapped Clinic Name","In Hand Quantity","Bad Inventory Count","Priority"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","ae568cab-1150-461a-b7c8-3455b39081d5","Vetic Pet Clinic Borivali, Mumbai","Borivali","5","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","ddf827da-02fe-4569-abd5-8a9b5b4148ad","Vetic Pet Clinic Koramangala","Koramangala","21","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","2bc496fa-3a8c-432b-87db-470eade9785d","Vetic Pet Clinic Mira Road","Mira Road","12","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","a7ff1571-405d-4d74-a0f9-a6603ab50cf0","Vetic Pet Clinic Salt Lake","Salt Lake","32","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","033c0253-d110-4250-8478-d404c77287d1","Vetic Pet Clinic Sarjapur Road","Sarjapur","12","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","e0366c71-c8bb-4002-9235-b803ccaf9725","Vetic Pet Clinic Whitefield, Bengaluru","Whitefield","22","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","d6d02e07-b637-4fa7-95e9-d89b07d35473","Vetic Pet Clinic, Anand Vihar","Anand Vihar","2","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","1e981ea2-e866-4eb6-86ea-159daafb59b4","Vetic Pet Clinic, Andheri West","Andheri","23","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","1e981ea2-e866-4eb6-86ea-159daafb59b8","Vetic Pet Clinic, Aundh","Aundh","13","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","6a8abb45-704f-46e3-91a2-8b4e12694581","Vetic Pet Clinic, Banashankari","Banashankari","9","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","36cbdafc-f920-40f6-a6ee-d027eb1af556","Vetic Pet Clinic, Banjara Hills, Hyderabad","Banjara Hills","5","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","9805d59b-7552-41d0-a161-7b4837b04688","Vetic Pet Clinic, Bannerghatta Road, Bengaluru","Bannerghatta","18","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","bfbf7778-fa29-11ed-a6b5-027b5103e28a","Vetic Pet Clinic, DLF Galleria Market","Galleria","2","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","9805d59b-7552-41d0-a161-7b4837b046bf","Vetic Pet Clinic, Domlur, Bengaluru","Domlur","18","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","34a099df-2b5b-44d0-8887-e08f18f4566c","Vetic Pet Clinic, Electronic City","Electronic","7","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","d47c1fb3-b232-4102-afcb-18362393fec3","Vetic Pet Clinic, Faridabad","Faridabad","6","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","910d866c-2384-11ed-8ca0-1e00da26098a","Vetic Pet Clinic, Golf Course Road","GCR","1","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","ec461194-d78d-11ed-a883-b10a1fdb553a","Vetic Pet Clinic, Greater Kailash 1 ,New Delhi","Greater Kailash","4","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","4bf8c16b-4b3e-4af6-8a97-6cb139740491","Vetic Pet Clinic, HITEC City","Hitec City","9","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","9805d59b-7552-41d0-a161-7b4837b046be","Vetic Pet Clinic, HSR Layout, Bengaluru","HSR","17","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","eefafd63-81a7-4273-8678-7a6a6ec7f6d4","Vetic Pet Clinic, Indirapuram","Indirapuram","8","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","9805d59b-7552-41d0-a161-7b4837b046bd","Vetic Pet Clinic, Kalyan Nagar, Bengaluru","Kalyan Nagar","24","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","71b0b53e-ee6d-4601-b27c-5a94bba35b7b","Vetic Pet Clinic, Kalyani Nagar","Kalyani Nagar","15","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","1e981ea2-e866-4eb6-86ea-159daafb59b9","Vetic Pet Clinic, Kandivali West, Mumbai","Kandivali","14","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","af52a7a1-87f5-4319-bbd1-7968695cf734","Vetic Pet Clinic, Kukatpally","Kukatpally","8","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","e9c82444-fa2d-11ed-a6b5-027b5103e28a","Vetic Pet Clinic, Malviya Nagar Delhi","Malviya Nagar","4","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","166b3bc5-9a50-49b8-a37e-e1d1e5e263fc","Vetic Pet Clinic, Manikonda","Manikonda","2","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","72bd3b2b-1533-4c69-a0b5-88410446da89","Vetic Pet Clinic, Nagarbhavi","Nagarbhavi","2","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","d9d75d9c-0ab3-462a-ba60-2e846131c627","Vetic Pet Clinic, NIBM Pune","NIBM","10","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","457833ce-addf-480f-a00a-44414b5bc82b","Vetic Pet Clinic, Noida Sec 20","Noida20","3","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","56c150de-fa2f-4bf9-ab42-542cea6f4c0f","Vetic Pet Clinic, Pitampura","Pitampura","6","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","76c84f6d-24b8-4746-81bc-59f810f2f979","Vetic Pet Clinic, Sadashiva Nagar","Sadashiva","9","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","ba02ff33-8479-4952-a47c-a921d1d25cf2","Vetic Pet Clinic, Sanpada Navi Mumbai","Sanpada","5","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","7f5f4ef0-3a68-11ed-9f48-027b5103e28a","Vetic Pet Clinic, Sector 45","GGN45","3","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","910d866c-2384-11ed-8ca0-1e00da26097a","Vetic Pet Clinic, Sector 57","GGN57","1","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","91bb84e4-8f42-4841-8c58-72d82dd3136c","Vetic Pet Clinic, Secunderabad","Secunderabad","9","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","79926b77-dfc3-4717-8320-6b95ae08f3ba","Vetic Pet Clinic, Sohna Road","Sohna","7","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","1e981ea2-e866-4eb6-86ea-159daafb59b5","Vetic Pet Clinic, Thane West","Thane","9","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","31faab19-1201-4477-87b2-a80f31662c93","Vetic Pet Clinic, Vasant Kunj","Vasant Kunj","3","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","433d378a-d915-4d89-a94e-2269e3ad1b3b","Vetic Pet Clinic, Wakad, Pune","Vetic Pet Clinic, Wakad, Pune","6","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","835ebee8-50aa-4924-9232-0cdb3684a215","Vetic Pet Clinic, Yelahanka, Bengaluru","Yelahanka","7","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","80db823c-6813-44eb-b9d0-1a81768ed2ef","Vetic, Adyar, Chennai","Adyar","7","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","54feb03d-aa38-4e4d-9f67-2904b0b451bd","Vetic, Anna Nagar","Anna Nagar","14","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","eba91aa9-aff7-49a1-9dd0-2f0508bbc9ba","Vetic, Behala, Kolkata","Behala","18","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","0725f0df-a872-44fd-a337-848689b367f6","Vetic, Himayat Nagar, Hyderabad","Himayat Nagar","5","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","21867782-920a-4128-8f01-78e50ddbdec6","Vetic, Lower Parel, Mumbai","Lower Parel","3","4","Very High"
"Fipronil S methoprene Fiprofort plus Cat and Kitten - 0.5mL - per pipette","40e8784e-dae9-4963-a834-9c553646eac8","75d684e9-a1f4-4fb0-a021-caf1f71b5c32","Vetic, Santacruz, Mumbai","Santacruz","5","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","622635df-0ed4-4e40-8ded-a8445bf34999","InventoryDemo - TAMS","InventoryDemo - TAMS","9","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","b5338db8-ebbb-435e-a6a7-6f7036bb2607","Nibble Kind, Goregaon, Mumbai","Goregaon","4","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","6ecb778d-a286-4e90-b9b7-1e101d6649d1","Nibble Kind, Lower Parel, Mumbai","Lower Parel","24","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","bfe98ce8-4649-4fda-a7fe-b0a9a927cff2","Nibble Kind, Mulund, Mumbai","Mulund","43","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","5d39e6cd-e768-4f2a-83b3-d49358d6b050","Nibble Kind, Powai, Mumbai","Powai","9","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","5d9b6915-e35a-4cdc-aaed-73243c9db120","Nibble Kind, Santacruz, Mumbai","Santacruz","16","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","fa4169e4-c8b6-459a-abd7-7b6cb260ed49","Regal Bites Physio, Rohini Sec-8","Rohini Sec-8","1","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","c891cc18-2f3f-46d8-b92a-77f1231a275e","Regal Bites, Anna Nagar, Chennai","Anna Nagar","48","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","fffffcf3-2747-4fbf-9374-2af27fac8185","Regal Bites, Behala, Kolkata","Behala","6","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","310d0e35-cc74-4c90-8bdf-9106fd7b8be6","Regal Bites, Derawal","Derawal","30","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","eba50778-2ecd-49e5-a793-4be86cbb7126","Regal Bites, Dwarka Sector 17, New Delhi","Dwarka Sector 17","45","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","b90b2c8a-d441-4009-b178-e04e1b60b0b4","Regal Bites, Himayat Nagar, Hyderabad","Himayat Nagar","2","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","a5967b46-7218-41fe-9065-ad2399957069","Regal Bites, Paschim Vihar","Paschim Vihar","23","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","c29302e7-538a-4b19-ad96-f41fd3c3a35f","Regal Bites, Rohini Sec-8","Rohini Sec-8","40","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","e26a4b34-7a32-4544-9392-858a32f6bb00","Regal Bites, SDA Market, New Delhi","SDA Market","15","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","c97b23a8-f43d-4bdf-ac6b-309b9f422d57","Regal Bites, Sector 15, Gurugram","GGN15","34","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","bf1e48b1-1fc9-4ef2-b6aa-3b487c0f398b","Regal Bites, Southern Avenue, Kolkata","Southern Avenue","8","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","9d053fe8-d23c-41bd-981d-c1c16c6547fd","TAMS Borivali, Mumbai","Borivali","29","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","a4ba11be-ede7-4413-9b4d-fcf6cdbb8de4","TAMS Salt Lake","Salt Lake","28","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","01039684-08ed-4b36-b903-da0eef54aad9","TAMS,  Banashankari, Bengaluru","Banashankari","26","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","bafd66a5-979f-41e1-860c-5f66eab991aa","TAMS,  DLF Galleria,Gurgaon","Galleria","52","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","ec15d076-faa7-4fda-a8de-eaf08b99a6ee","TAMS,  Indirapuram, Ghaziabad","Indirapuram","38","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","354ef279-71e3-4196-b8dc-f5eca968b7d8","TAMS,  Malviya Nagar ,New Delhi","Malviya Nagar","30","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","24027a43-f039-4f37-85a2-e0cef5e179f4","TAMS, Andheri West, Mumbai","Andheri","63","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","09d1cdc8-2d79-47bc-be00-95d70b983ffe","TAMS, Aundh, Pune","Aundh","6","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","b389bce1-b476-4bb1-bf45-72a8c9272554","TAMS, Bannerghatta Road, Bengaluru","Bannerghatta","20","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","cf3efebd-8031-4da4-9405-bbc8e68b63b3","TAMS, Chembur, Mumbai","Chembur","74","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","154bf161-2853-44d9-9239-61a2ab713aa9","TAMS, Defence Colony, New Delhi","Defence Colony","27","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","f1e81d20-c477-4dab-8349-e1eddbab6b6e","TAMS, Electronic City, Bengaluru","Electronic","16","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","23e4be73-4a79-404e-bf8c-9c4f30a0fada","TAMS, GCR, Gurugram","GCR","5","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","ecffb8f2-b8e9-485d-b3b8-bcafc7d6ecbd","TAMS, Greater Kailash 1 ,New Delhi","Greater Kailash","4","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","22bb5f03-f29c-4340-86a8-153209dbbc62","TAMS, Hitec City, Hyderabad","Hitec City","1","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","95c10d3d-7727-4ee8-be2e-acb4bc560417","TAMS, HSR Layout, Bengaluru","HSR","11","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","10345293-4204-43b4-9c8e-f78274923325","TAMS, Kalyani Nagar, Pune","Kalyani Nagar","2","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","1cad5948-5403-490d-ba9b-b08e708b672f","TAMS, Kandivali West, Mumbai","Kandivali","10","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","ca0a4265-09b3-4c1f-8216-6ff5a21c69ef","TAMS, Koramangala","Koramangala","32","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","f67006c5-380f-4b41-aadf-ab3f0983d640","TAMS, Mira Raod","Mira Road","17","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","2d7e9862-5257-4b84-81f0-df40a6c3dd43","TAMS, Nagarbhavi, Bengaluru","Nagarbhavi","20","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","b781f237-1084-4cc5-a1f7-9e1c565d0ebe","TAMS, NIBM, Pune","NIBM","45","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","5261f006-30e9-4282-bc86-5927a101862b","TAMS, Pitampura, New Delhi","Pitampura","9","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","ecd7530a-82a5-4d50-9483-1b94adaca171","TAMS, Sadashiva Nagar, Bengaluru","Sadashiva","22","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","885ccdb7-e3c7-49f8-b5cc-c4a01291398d","TAMS, Sector 20, Noida","Noida20","2","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","1eaebe26-ac80-4280-8f86-006e6756aed3","TAMS, Sector 45,Gurugram","GGN45","28","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","c9243bcc-034d-475f-b909-bfd8c27c577b","TAMS, Sector 49, Noida","Noida49","45","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","0bdd16a9-6994-4e99-bfad-e774b846441e","TAMS, Sector 57,Gurugram","GGN57","17","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","41a9edb4-b74a-4a6a-a8eb-36d7d43fd768","TAMS, Sector 82A, Gurugram","GGN82A","15","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","0d23ce66-dc7a-4391-8e71-b79a24d71ee1","TAMS, Secunderabad, Hyderabad","Secunderabad","14","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","38f87819-210b-4634-95a1-329da288d91d","TAMS, Sohna Road, Gurugram","Sohna","27","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","0af95382-a5d8-4ca9-ba19-492cc640a5bd","TAMS, Thane West Part A,Mumbai","Thane","6","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","d217369d-92cd-4196-be25-559d46b1b5b5","TAMS, Thane West, Mumbai","Thane","6","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","a5268ae1-bfdc-4b6d-a2c1-67064f113047","TAMS, Vasant Kunj","Vasant Kunj","23","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","c9243bcc-034d-475f-b909-bfd8c27c577c","TAMS, Wakad, Pune","TAMS, Wakad, Pune","2","4","Very High"
"Me-O Creamy Treats Chicken & Liver - 60g","8c7ea139-5671-4fec-aa37-861b00ab3b94","699f94b4-e930-4564-92b3-3264e23a69b1","TAMS, Whitefield, Bengaluru","Whitefield","19","4","Very High"
"Mupirocin Fluticasone Staphban F - 10gm - Ointment","10caa633-76f2-4d6b-9d51-587e6f40d46c","adc0b1de-bae8-4b42-818c-d8d5486af130","Blue7Vets, Borivali, Mumbai","Borivali","133","4","Very High"
"Mupirocin Fluticasone Staphban F - 10gm - Ointment","10caa633-76f2-4d6b-9d51-587e6f40d46c","db997130-c673-4ce1-a6cd-54016e1c067f","Doggy World, Derawal","Derawal","11","4","Very High"
"Mupirocin Fluticasone Staphban F - 10gm - Ointment","10caa633-76f2-4d6b-9d51-587e6f40d46c","62227c45-c782-4feb-b5e2-112679c10f76","Doggy World, Paschim Vihar","Paschim Vihar","5","4","Very High"
"Mupirocin Fluticasone Staphban F - 10gm - Ointment","10caa633-76f2-4d6b-9d51-587e6f40d46c","c9318193-0155-403e-a5c4-41990a0bd91a","Doggy World, Rohini Sec 24","Rohini Sec 24","21","4","Very High"
"Mupirocin Fluticasone Staphban F - 10gm - Ointment","10caa633-76f2-4d6b-9d51-587e6f40d46c","9805d59b-7552-41d0-a161-7b4837b04999","InventoryDemo - Clinic","InventoryDemo - Clinic","22","4","Very High"
